Name,TaxId
Alfreds Futterkiste,123456
Ana Trujillo Emparedados y helados,123456
Antonio Moreno Taquería,123456
Around the Horn,123456
Berglunds snabbköp,123456
Blauer See Delikatessen,123456
Blondesddsl père et fils,123456
Bólido Comidas preparadas,123456
Bon app,123456
Bottom-Dollar Markets,123456
B's Beverages,123456
Cactus Comidas para llevar,123456
Centro comercial Moctezuma,123456
Chop-suey Chinese,123456
Comércio Mineiro,123456
Consolidated Holdings,123456
Drachenblut Delikatessen,123456
Du monde entier,123456
Eastern Connection,123456
Ernst Handel,123456
Familia Arquibaldo,123456
FISSA Fabrica Inter. Salchichas S.A.,123456
Folies gourmandes,123456
Folk och fä HB,123456
Frankenversand,123456
France restauration,123456
Franchi S.p.A.,123456
Furia Bacalhau e Frutos do Mar,123456
Galería del gastrónomo,123456
Godos Cocina Típica,123456
Gourmet Lanchonetes,123456
Great Lakes Food Market,123456
GROSELLA-Restaurante,123456
Hanari Carnes,123456
HILARION-Abastos,123456
Hungry Coyote Import Store,123456
Hungry Owl All-Night Grocers,123456
Island Trading,123456
Königlich Essen,123456
La corne d'abondance,123456
La maison d'Asie,123456
Laughing Bacchus Wine Cellars,123456
Lazy K Kountry Store,123456
Lehmanns Marktstand,123456
Let's Stop N Shop,123456
LILA-Supermercado,123456
LINO-Delicateses,123456
Lonesome Pine Restaurant,123456
Magazzini Alimentari Riuniti,123456
Maison Dewey,123456
Mère Paillarde,123456
Morgenstern Gesundkost,123456
North/South,123456
Océano Atlántico Ltda.,123456
Old World Delicatessen,123456
Ottilies Käseladen,123456
Paris spécialités,123456
Pericles Comidas clásicas,123456
Piccolo und mehr,123456
Princesa Isabel Vinhos,123456
Que Delícia,123456
Queen Cozinha,123456
QUICK-Stop,123456
Rancho grande,123456
Rattlesnake Canyon Grocery,123456
Reggiani Caseifici,123456
Ricardo Adocicados,123456
Richter Supermarkt,123456
Romero y tomillo,123456
Santé Gourmet,123456
Save-a-lot Markets,123456
Seven Seas Imports,123456
Simons bistro,123456
Spécialités du monde,123456
Split Rail Beer & Ale,123456
Suprêmes délices,123456
The Big Cheese,123456
The Cracker Box,123456
Toms Spezialitäten,123456
Tortuga Restaurante,123456
Tradição Hipermercados,123456
Trail's Head Gourmet Provisioners,123456
Vaffeljernet,123456
Victuailles en stock,123456
Vins et alcools Chevalier,123456
Die Wandernde Kuh,123456
Wartian Herkku,123456
Wellington Importadora,123456
White Clover Markets,123456
Wilman Kala,123456
Wolski Zajazd,123456
